Metric,Base Strategy,AI-Enhanced
Total Return %,11.61,11.0
Max Drawdown %,9.43,8.43
Sharpe Ratio,0.343,0.373
Win Rate %,39.77,39.77
Total Trades,88.0,88.0
Profit Factor,1.272,1.308
